descriptor,source,nan_rate,kept
fr_thiazole,rdkit,0.0,True
fr_thiocyan,rdkit,0.0,True
fr_thiophene,rdkit,0.0,True
fr_unbrch_alkane,rdkit,0.0,True
fr_urea,rdkit,0.0,True
ABC,mordred,1.0,False
ABCGG,mordred,1.0,False
nAcid,mordred,0.0,True
nBase,mordred,0.0,True
SpAbs_A,mordred,0.32323232323232326,False
SpMax_A,mordred,0.32323232323232326,False
SpDiam_A,mordred,0.32323232323232326,False
SpAD_A,mordred,0.32323232323232326,False
SpMAD_A,mordred,0.32323232323232326,False
LogEE_A,mordred,0.32323232323232326,False
VE1_A,mordred,0.32323232323232326,False
VE2_A,mordred,0.32323232323232326,False
VE3_A,mordred,0.32323232323232326,False
VR1_A,mordred,0.32323232323232326,False
VR2_A,mordred,0.32323232323232326,False
VR3_A,mordred,0.3333333333333333,False
nAromAtom,mordred,0.0,True
nAromBond,mordred,0.0,True
nAtom,mordred,0.0,True
nHeavyAtom,mordred,0.0,True
nSpiro,mordred,0.0,True
nBridgehead,mordred,0.0,True
nHetero,mordred,0.0,True
nH,mordred,0.0,True
nB,mordred,0.0,True
nC,mordred,0.0,True
nN,mordred,0.0,True
nO,mordred,0.0,True
nS,mordred,0.0,True
nP,mordred,0.0,True
nF,mordred,0.0,True
nCl,mordred,0.0,True
nBr,mordred,0.0,True
nI,mordred,0.0,True
nX,mordred,0.0,True
ATS0dv,mordred,0.0,True
ATS1dv,mordred,0.0,True
ATS2dv,mordred,0.0,True
ATS3dv,mordred,0.0,True
ATS4dv,mordred,0.0,True
ATS5dv,mordred,0.0,True
ATS6dv,mordred,0.0,True
ATS7dv,mordred,0.0,True
ATS8dv,mordred,0.0,True
ATS0d,mordred,0.0,True
ATS1d,mordred,0.0,True
ATS2d,mordred,0.0,True
ATS3d,mordred,0.0,True
ATS4d,mordred,0.0,True
ATS5d,mordred,0.0,True
ATS6d,mordred,0.0,True
ATS7d,mordred,0.0,True
ATS8d,mordred,0.0,True
ATS0s,mordred,0.32323232323232326,False
ATS1s,mordred,0.32323232323232326,False
ATS2s,mordred,0.32323232323232326,False
ATS3s,mordred,0.32323232323232326,False
ATS4s,mordred,0.32323232323232326,False
ATS5s,mordred,0.32323232323232326,False
ATS6s,mordred,0.32323232323232326,False
ATS7s,mordred,0.32323232323232326,False
ATS8s,mordred,0.32323232323232326,False
ATS0Z,mordred,0.0,True
ATS1Z,mordred,0.0,True
ATS2Z,mordred,0.0,True
ATS3Z,mordred,0.0,True
ATS4Z,mordred,0.0,True
